name,ring,quadrant,isNew,description
NET,Adopt,languages-and-frameworks,TRUE,
.NET Core,Adopt,languages-and-frameworks,TRUE,
Java,Adopt,languages-and-frameworks,TRUE,
Java Spring Boot,Adopt,languages-and-frameworks,TRUE,
Java Struts,Adopt,languages-and-frameworks,TRUE,
Javascript,Adopt,languages-and-frameworks,TRUE,
React,Adopt,languages-and-frameworks,TRUE,
React Native,Adopt,languages-and-frameworks,TRUE,
NetJS,Adopt,languages-and-frameworks,TRUE,
Node,Adopt,languages-and-frameworks,TRUE,
Jest,Adopt,languages-and-frameworks,TRUE,
Enzyme,Adopt,languages-and-frameworks,TRUE,
Python,Adopt,languages-and-frameworks,TRUE,
Ruby,Adopt,languages-and-frameworks,TRUE,
Ember,Adopt,languages-and-frameworks,TRUE,
Golang,Adopt,languages-and-frameworks,TRUE,
Mongo DB,Adopt,Tools,TRUE,
PostgresSQL,Adopt,Tools,TRUE,
CosmosDB,Adopt,Tools,TRUE,
Azure Functions,Adopt,Platform,TRUE,
Cloud Functions,Adopt,Platform,TRUE,
Azure Storage,Adopt,Platform,TRUE,
Azure DevOps (suite),Adopt,Tools,TRUE,
GitHub,Assess,Tools,TRUE,
GitLab,Adopt,Tools,TRUE,
Grafana,Adopt,Tools,TRUE,
Prometheus,Adopt,Tools,TRUE,
Datadog,Adopt,Tools,TRUE,
Elastic Search,Adopt,Tools,TRUE,
Kibana,Adopt,Tools,TRUE,
Sonarqube,Adopt,Tools,TRUE,
Veracode,Adopt,Tools,TRUE,
Whitesource,Adopt,Tools,TRUE,
Synk,Adopt,Tools,TRUE,
Microservices,Adopt,Techniques,TRUE,
